Q No.,Question - general,Parameters,Region(s) Applicable - Assumption,Question - specific,Source,Region(s) Applicable - Known
13,N/A,,,"I do not have a computer with Internet connection and card reader, how can I i-vote?",https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
14,N/A,,,I don’t have a chip card reader. Where can I get one?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
15,N/A,,,Where can I get ID-software?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
16,N/A,,,Is it possible to vote with Mobile ID?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
17,N/A,,,"Is it possible to vote with a mobile phone, without using a computer?",https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-id-card-and-mobile-id,
18,N/A,,,How has i-voting influenced voter turnout?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
19,How is the voter identified in <country>?,<country>,,How is the voter identified?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
20,How is it ensured that each voter votes himself or herself (independently) in <country>?,<country>,,How is it ensured that each voter votes himself or herself (independently)?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
21,N/A,,,How is vote buying / transfer of ID-card and its codes prevented?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
22,N/A,,,"Why is it possible to change your i-vote, but not the paper vote?",https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
23,N/A,,,Why is it not possible to vote with a smart device?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
24,N/A,,,How is the secrecy of i-voting ensured?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
25,N/A,,,Why did Estonia decide to introduce i-voting?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
26,N/A,,,Why is i-voting used only in Estonia and not in other countries?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
27,Which countries use voting through the Internet?,,,Which countries use voting through the Internet?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
28,Which countries have tried i-voting?,,,Which countries have tried i-voting?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
29,Why have other countries discontinued their i-voting projects?,,,Why have other countries discontinued their i-voting projects?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
30,What is the international reaction to Estonia’s i-voting solutions?,,,What is the international reaction to Estonia’s i-voting solutions?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
31,N/A,,,"But the international experts have found that the system is not reliable, e.g., there has been criticism from the OSCE?",https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
32,N/A,,,"Can i-voting be secure if internationally several elections (USA, Netherlands) have been “hacked”?",https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
33,N/A,,,How can the voter be sure that their vote reached the i-voting system correctly?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
34,N/A,,,How can you be sure that all collected i-votes are counted correctly and the voting result is right?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
35,N/A,,,Why are the i-votes destroyed so quickly after the declaration of election results?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
36,How is it possible that voters of advanced age vote as actively as the young?,,,How is it possible that voters of advanced age vote as actively as the young?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
37,N/A,,,Does i-voting favour specific political parties?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
38,N/A,,,What use is the implementation of i-voting to the voters and to the society?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
39,N/A,,,How can i-voting be observed?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
40,N/A,,,Who are the organisers of i-voting? Can they be trusted?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
41,N/A,,,Can the voter’s computer be trusted?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
42,N/A,,,What is the difference between i-voting and e-voting?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
43,How can it be ensured that a person votes with their own certificates in <country>?,<country>,,How can it be ensured that a person votes with their own certificates?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
44,N/A,,,How can I be sure that the authentication and signature keys connected with my personal certificate have not leaked?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
45,How can I be sure that the electoral committee or anybody else cannot change the contents of the vote-collecting tank in <country>?,<country>,,How can I be sure that the electoral committee or anybody else cannot change the contents of the vote-collecting tank?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
46,N/A,,,Why is it not possible to submit an invalid ballot at i-voting?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
47,N/A,,,Why should we presume that a person themselves does not want to cheat with their ID-card?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
48,Is it safe to vote over the Internet in <country>?,<country>,,Is it safe to vote over the Internet?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
49,N/A,,,How is the secrecy of my vote kept if I can see in my smartphone who I voted for?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
50,Why don’t other countries use voting over the Internet at national elections?,,,Why don’t other countries use voting over the Internet at national elections?,https://www.valimised.ee/en/internet-voting/frequently-asked-questions/questions-about-reliability-i-voting,
